,Type,River,iter,dMdt
1,Direct,Jimmy,1,0.419698173
2,Direct,Jimmy,2,0.356538233
3,Direct,Jimmy,3,0.294325201
4,Direct,Jimmy,4,0.236315851
5,Direct,Jimmy,5,0.189514322
6,Direct,Jimmy,6,0.167121144
7,Direct,Jimmy,7,0.194264923
8,Direct,Jimmy,8,0.322153017
9,Direct,Jimmy,9,0.66481966
10,Direct,Jimmy,10,1.482401165
11,Direct,Mitchell,1,2.850465962
12,Direct,Mitchell,2,2.949691461
13,Direct,Mitchell,3,3.012274067
14,Direct,Mitchell,4,3.029986539
15,Direct,Mitchell,5,2.991875268
16,Direct,Mitchell,6,2.88717017
17,Direct,Mitchell,7,2.713600858
18,Direct,Mitchell,8,2.492320191
19,Direct,Mitchell,9,2.282473405
20,Direct,Mitchell,10,2.163281364
21,Direct,Obear,1,0.256063689
22,Direct,Obear,2,0.247636923
23,Direct,Obear,3,0.246066192
24,Direct,Obear,4,0.253156874
25,Direct,Obear,5,0.271565075
26,Direct,Obear,6,0.30508349
27,Direct,Obear,7,0.35920769
28,Direct,Obear,8,0.44225688
29,Direct,Obear,9,0.567602817
30,Direct,Obear,10,0.758328689
31,Direct,Westbrook,1,1.37149444
32,Direct,Westbrook,2,1.392659408
33,Direct,Westbrook,3,1.40246735
34,Direct,Westbrook,4,1.39740252
35,Direct,Westbrook,5,1.376051155
36,Direct,Westbrook,6,1.340578023
37,Direct,Westbrook,7,1.299659777
38,Direct,Westbrook,8,1.272515151
39,Direct,Westbrook,9,1.289994168
40,Direct,Westbrook,10,1.371211184
41,Indirect,Jimmy,1,-0.079975433
42,Indirect,Jimmy,2,-0.093085595
43,Indirect,Jimmy,3,-0.108241863
44,Indirect,Jimmy,4,-0.126290173
45,Indirect,Jimmy,5,-0.147918747
46,Indirect,Jimmy,6,-0.1737174
47,Indirect,Jimmy,7,-0.204182764
48,Indirect,Jimmy,8,-0.239552767
49,Indirect,Jimmy,9,-0.278773584
50,Indirect,Jimmy,10,-0.314408274
51,Indirect,Mitchell,1,2.738879597
52,Indirect,Mitchell,2,2.952978852
53,Indirect,Mitchell,3,3.082134278
54,Indirect,Mitchell,4,3.134492164
55,Indirect,Mitchell,5,3.117488722
56,Indirect,Mitchell,6,3.035271511
57,Indirect,Mitchell,7,2.889502933
58,Indirect,Mitchell,8,2.683984103
59,Indirect,Mitchell,9,2.427564492
60,Indirect,Mitchell,10,2.121391426
61,Indirect,Obear,1,0.424427285
62,Indirect,Obear,2,0.441329652
63,Indirect,Obear,3,0.462979346
64,Indirect,Obear,4,0.490446038
65,Indirect,Obear,5,0.525434862
66,Indirect,Obear,6,0.570734554
67,Indirect,Obear,7,0.630924998
68,Indirect,Obear,8,0.713551399
69,Indirect,Obear,9,0.831252562
70,Indirect,Obear,10,1.006073663
71,Indirect,Westbrook,1,0.09144929
72,Indirect,Westbrook,2,0.323075634
73,Indirect,Westbrook,3,0.540695089
74,Indirect,Westbrook,4,0.738592353
75,Indirect,Westbrook,5,0.911600286
76,Indirect,Westbrook,6,1.055820047
77,Indirect,Westbrook,7,1.169552261
78,Indirect,Westbrook,8,1.254423674
79,Indirect,Westbrook,9,1.315610406
80,Indirect,Westbrook,10,1.35519744
81,Total,Jimmy,1,0.33972274
82,Total,Jimmy,2,0.263452638
83,Total,Jimmy,3,0.186083338
84,Total,Jimmy,4,0.110025678
85,Total,Jimmy,5,0.041595575
86,Total,Jimmy,6,-0.006596256
87,Total,Jimmy,7,-0.009917841
88,Total,Jimmy,8,0.082600251
89,Total,Jimmy,9,0.386046075
90,Total,Jimmy,10,1.167992892
91,Total,Mitchell,1,5.589345559
92,Total,Mitchell,2,5.902670312
93,Total,Mitchell,3,6.094408345
94,Total,Mitchell,4,6.164478703
95,Total,Mitchell,5,6.10936399
96,Total,Mitchell,6,5.922441681
97,Total,Mitchell,7,5.603103791
98,Total,Mitchell,8,5.176304294
99,Total,Mitchell,9,4.710037897
100,Total,Mitchell,10,4.28467279
101,Total,Obear,1,0.680490974
102,Total,Obear,2,0.688966575
103,Total,Obear,3,0.709045537
104,Total,Obear,4,0.743602911
105,Total,Obear,5,0.796999937
106,Total,Obear,6,0.875818044
107,Total,Obear,7,0.990132688
108,Total,Obear,8,1.155808279
109,Total,Obear,9,1.398855379
110,Total,Obear,10,1.764402352
111,Total,Westbrook,1,1.46294373
112,Total,Westbrook,2,1.715735041
113,Total,Westbrook,3,1.943162438
114,Total,Westbrook,4,2.135994873
115,Total,Westbrook,5,2.287651441
116,Total,Westbrook,6,2.396398071
117,Total,Westbrook,7,2.469212037
118,Total,Westbrook,8,2.526938825
119,Total,Westbrook,9,2.605604574
120,Total,Westbrook,10,2.726408625
